t,13.5,x,4.64,velocity,-8.63
t,13.6,x,3.73,velocity,-9.09
t,13.7,x,2.78,velocity,-9.47
t,13.8,x,1.81,velocity,-9.75
t,13.9,x,0.81,velocity,-9.93
t,14,x,-0.19,velocity,-10.01
t,14.1,x,-1.19,velocity,-9.99
t,14.2,x,-2.17,velocity,-9.87
t,14.3,x,-3.14,velocity,-9.65
t,14.4,x,-4.07,velocity,-9.34
t,14.5,x,-4.97,velocity,-8.93
t,14.6,x,-5.81,velocity,-8.44
t,14.7,x,-6.59,velocity,-7.85
t,14.8,x,-7.31,velocity,-7.19
t,14.9,x,-7.96,velocity,-6.46
t,15,x,-8.53,velocity,-5.67
t,15.1,x,-9.01,velocity,-4.81
t,15.2,x,-9.4,velocity,-3.91
t,15.3,x,-9.7,velocity,-2.97
t,15.4,x,-9.9,velocity,-2
t,15.5,x,-10,velocity,-1.01
t,15.6,x,-10,velocity,-0.01
t,15.7,x,-9.9,velocity,0.99
t,15.8,x,-9.7,velocity,1.98
t,15.9,x,-9.41,velocity,2.95
t,16,x,-9.02,velocity,3.89
t,16.1,x,-8.54,velocity,4.79
t,16.2,x,-7.98,velocity,5.64
t,16.3,x,-7.33,velocity,6.44
t,16.4,x,-6.62,velocity,7.18
t,16.5,x,-5.83,velocity,7.84
t,16.6,x,-4.99,velocity,8.42
t,16.7,x,-4.1,velocity,8.92
t,16.8,x,-3.17,velocity,9.33
t,16.9,x,-2.2,velocity,9.65
t,17,x,-1.21,velocity,9.87
t,17.1,x,-0.22,velocity,9.99
t,17.2,x,0.78,velocity,10.01
t,17.3,x,1.78,velocity,9.93
t,17.4,x,2.75,velocity,9.75
t,17.5,x,3.7,velocity,9.48
t,17.6,x,4.61,velocity,9.11
t,17.7,x,5.48,velocity,8.65
t,17.8,x,6.29,velocity,8.1
t,17.9,x,7.03,velocity,7.47
t,18,x,7.71,velocity,6.77
t,18.1,x,8.31,velocity,6
t,18.2,x,8.83,velocity,5.16
t,18.3,x,9.25,velocity,4.28
t,18.4,x,9.59,velocity,3.36
t,18.5,x,9.83,velocity,2.4
t,18.6,x,9.97,velocity,1.41
t,18.7,x,10.01,velocity,0.42
t,18.8,x,9.95,velocity,-0.58
t,18.9,x,9.8,velocity,-1.58
t,19,x,9.54,velocity,-2.56
t,19.1,x,9.19,velocity,-3.51
t,19.2,x,8.75,velocity,-4.43
t,19.3,x,8.22,velocity,-5.31
t,19.4,x,7.6,velocity,-6.13
t,19.5,x,6.91,velocity,-6.89
t,19.6,x,6.16,velocity,-7.58
t,19.7,x,5.34,velocity,-8.19
t,19.8,x,4.46,velocity,-8.73
t,19.9,x,3.55,velocity,-9.17
t,20,x,2.59,velocity,-9.53
t,20.1,x,1.61,velocity,-9.79
t,20.2,x,0.62,velocity,-9.95
t,20.3,x,-0.38,velocity,-10.01
t,20.4,x,-1.38,velocity,-9.97
t,20.5,x,-2.36,velocity,-9.84
t,20.6,x,-3.32,velocity,-9.6
t,20.7,x,-4.25,velocity,-9.27
t,20.8,x,-5.13,velocity,-8.84
t,20.9,x,-5.97,velocity,-8.33
t,21,x,-6.74,velocity,-7.73
t,21.1,x,-7.45,velocity,-7.06
t,21.2,x,-8.08,velocity,-6.31
t,21.3,x,-8.63,velocity,-5.51
t,21.4,x,-9.09,velocity,-4.64
t,21.5,x,-9.47,velocity,-3.73
t,21.6,x,-9.74,velocity,-2.79
t,21.7,x,-9.93,velocity,-1.81
t,21.8,x,-10.01,velocity,-0.82
t,21.9,x,-9.99,velocity,0.18
t,22,x,-9.87,velocity,1.18
t,22.1,x,-9.65,velocity,2.17
t,22.2,x,-9.34,velocity,3.13
t,22.3,x,-8.93,velocity,4.07
t,22.4,x,-8.44,velocity,4.96
t,22.5,x,-7.86,velocity,5.8
t,22.6,x,-7.2,velocity,6.59
t,22.7,x,-6.47,velocity,7.31
t,22.8,x,-5.67,velocity,7.96
t,22.9,x,-4.82,velocity,8.52
t,23,x,-3.92,velocity,9.01
t,23.1,x,-2.98,velocity,9.4
t,23.2,x,-2.01,velocity,9.7
t,23.3,x,-1.02,velocity,9.9
t,23.4,x,-0.02,velocity,10
t,23.5,x,0.98,velocity,10
t,23.6,x,1.97,velocity,9.9
t,23.7,x,2.94,velocity,9.71
t,23.8,x,3.88,velocity,9.41
t,23.9,x,4.78,velocity,9.02
t,24,x,5.64,velocity,8.55
t,24.1,x,6.44,velocity,7.98
t,24.2,x,7.17,velocity,7.34
t,24.3,x,7.83,velocity,6.62
t,24.4,x,8.42,velocity,5.84
t,24.5,x,8.92,velocity,5
t,24.6,x,9.33,velocity,4.1
t,24.7,x,9.64,velocity,3.17
t,24.8,x,9.86,velocity,2.21
t,24.9,x,9.99,velocity,1.22
t,25,x,10.01,velocity,0.22
t,25.1,x,9.93,velocity,-0.78
t,25.2,x,9.75,velocity,-1.77
t,25.3,x,9.48,velocity,-2.75
t,25.4,x,9.11,velocity,-3.69
t,25.5,x,8.65,velocity,-4.61
t,25.6,x,8.1,velocity,-5.47
t,25.7,x,7.47,velocity,-6.28
t,25.8,x,6.77,velocity,-7.03
t,25.9,x,6,velocity,-7.7
t,26,x,5.17,velocity,-8.31
t,26.1,x,4.29,velocity,-8.82
t,26.2,x,3.36,velocity,-9.25
t,26.3,x,2.4,velocity,-9.59
t,26.4,x,1.42,velocity,-9.83
t,26.5,x,0.42,velocity,-9.97
t,26.6,x,-0.58,velocity,-10.01
t,26.7,x,-1.57,velocity,-9.95
t,26.8,x,-2.55,velocity,-9.8
t,26.9,x,-3.51,velocity,-9.54
t,27,x,-4.43,velocity,-9.19
t,27.1,x,-5.3,velocity,-8.75
t,27.2,x,-6.12,velocity,-8.22
t,27.3,x,-6.88,velocity,-7.61
t,27.4,x,-7.57,velocity,-6.92
t,27.5,x,-8.19,velocity,-6.16
t,27.6,x,-8.72,velocity,-5.34
t,27.7,x,-9.17,velocity,-4.47
t,27.8,x,-9.53,velocity,-3.55
t,27.9,x,-9.79,velocity,-2.6
t,28,x,-9.95,velocity,-1.62
t,28.1,x,-10.01,velocity,-0.63
t,28.2,x,-9.97,velocity,0.38
t,28.3,x,-9.84,velocity,1.37
t,28.4,x,-9.6,velocity,2.36
t,28.5,x,-9.27,velocity,3.32
t,28.6,x,-8.85,velocity,4.24
t,28.7,x,-8.33,velocity,5.13
t,28.8,x,-7.74,velocity,5.96
t,28.9,x,-7.06,velocity,6.73
t,29,x,-6.32,velocity,7.44
t,29.1,x,-5.51,velocity,8.07
t,29.2,x,-4.65,velocity,8.62
t,29.3,x,-3.74,velocity,9.09
t,29.4,x,-2.79,velocity,9.46
t,29.5,x,-1.82,velocity,9.74
t,29.6,x,-0.83,velocity,9.92
t,29.7,x,0.17,velocity,10.01
t,29.8,x,1.17,velocity,9.99
t,29.9,x,2.16,velocity,9.87
t,30,x,3.13,velocity,9.66
t,30.1,x,4.06,velocity,9.34
t,30.2,x,4.95,velocity,8.94
t,30.3,x,5.8,velocity,8.44
t,30.4,x,6.58,velocity,7.86
t,30.5,x,7.3,velocity,7.2
t,30.6,x,7.95,velocity,6.47
t,30.7,x,8.52,velocity,5.68
t,30.8,x,9,velocity,4.83
t,30.9,x,9.4,velocity,3.93
t,31,x,9.69,velocity,2.99
t,31.1,x,9.9,velocity,2.02
t,31.2,x,10,velocity,1.03
